,__typename,firstName,lastName,department,id,legacyId,numRatings,avgRating,avgDifficulty
0,Teacher,Robert,Borgen,Languages,VGVhY2hlci05NTY2,9566,39,3.3,2.9
1,Teacher,Aram,Yengoyan,Anthropology,VGVhY2hlci05NTY4,9568,47,2.6,2.7
2,Teacher,Patrick,Carroll-Burke,Social Science,VGVhY2hlci05NTcw,9570,13,3.2,3.1
3,Teacher,Henry,McHenry,Anthropology,VGVhY2hlci0xMzQ4MQ==,13481,124,4.5,2.5
4,Teacher,Peter,Rodman,Anthropology,VGVhY2hlci0yMjIzMA==,22230,73,3.8,3.6
5,Teacher,Bill,Hagen,History,VGVhY2hlci0yNDE4MQ==,24181,45,2.5,3.2
6,Teacher,Charles,Walker,History,VGVhY2hlci0yNDE4Mg==,24182,37,4.4,2.5
7,Teacher,Lynn,Roller,Art & Art History,VGVhY2hlci0yNDE4Mw==,24183,76,3.3,3.2
8,Teacher,Stylianos,Spyridakis,History,VGVhY2hlci0yNDE4NA==,24184,188,4.6,2.1
9,Teacher,Susan,Mann,History,VGVhY2hlci0yNDE4NQ==,24185,22,3.8,2.6
10,Teacher,Alan S.,Taylor,History,VGVhY2hlci0yNDE4OA==,24188,77,4.1,3.7
11,Teacher,Liz,Applegate,Nutrition,VGVhY2hlci0zNTEyNg==,35126,257,4.2,2
12,Teacher,Ted,Margadant,History,VGVhY2hlci0zNTY1OA==,35658,54,3.9,2.5
13,Teacher,Nancy,True,Chemistry,VGVhY2hlci0zNjc5Ng==,36796,118,2.9,3
14,Teacher,Clarence,Walker,History,VGVhY2hlci0zNzc4Nw==,37787,36,4.2,2.8
15,Teacher,Emily,Albu,Classics,VGVhY2hlci0zOTA5Nw==,39097,63,4.3,2.1
16,Teacher,Randolph,Siverson,Political Science,VGVhY2hlci0zOTM0OQ==,39349,91,3.8,3.2
17,Teacher,Virginia,Creveling,Communication,VGVhY2hlci00MTU0MQ==,41541,66,4.8,2
18,Teacher,Matthew,Augustine,Chemistry,VGVhY2hlci00MjMyNg==,42326,190,4.1,3.3
19,Teacher,Brian,Sala,Political Science,VGVhY2hlci00NTk1Nw==,45957,36,3.7,2.6
20,Teacher,Vu,Pham,Engineering,VGVhY2hlci00NjU5MQ==,46591,27,3.6,2.4
21,Teacher,Larry,Peterman,Political Science,VGVhY2hlci01NDIwNA==,54204,40,3.9,2.6
22,Teacher,Bill,Hing,Asian Studies,VGVhY2hlci01NDMyNg==,54326,43,4.5,1.8
23,Teacher,Richard,Robins,Psychology,VGVhY2hlci01Njc2OA==,56768,18,4.1,2.7
24,Teacher,Michael,Wedin,Philosophy,VGVhY2hlci01NzU1Nw==,57557,25,3.4,2.4
25,Teacher,Rod,Cole,Science,VGVhY2hlci01OTE1Mg==,59152,77,4.1,3.3
26,Teacher,Thomas,Chance,Languages,VGVhY2hlci01OTUzOQ==,59539,20,3.5,2.9
27,Teacher,Charles,Hammond,History,VGVhY2hlci01OTY4Nw==,59687,18,4,2.7
28,Teacher,Atul,Parikh,Engineering,VGVhY2hlci01OTk0OQ==,59949,18,2.8,2.3
29,Teacher,Rory,Kinoshita,Mathematics,VGVhY2hlci02MzUzMA==,63530,3,4.3,2
30,Teacher,Mark,Kurth,Science,VGVhY2hlci02ODc1MQ==,68751,74,2.6,4.7
31,Teacher,Kent,Wilken,Engineering,VGVhY2hlci03Nzk4NA==,77984,33,3,3.3
32,Teacher,Matt,Nelsenador,Mathematics,VGVhY2hlci03Nzk4NQ==,77985,67,2.5,3.8
33,Teacher,Yuri,Druzhnikov,Languages,VGVhY2hlci03ODA1Nw==,78057,20,4.2,2
34,Teacher,Garland,Brinkley,Economics,VGVhY2hlci03ODA2NA==,78064,102,3,3.1
35,Teacher,Thomas,Famula,Animal Science,VGVhY2hlci03ODA3NQ==,78075,189,4.9,2.2
36,Teacher,Haruko,Sakakibara,Languages,VGVhY2hlci03ODA3Nw==,78077,45,4.1,2.8
37,Teacher,Kazue,Chavez,Languages,VGVhY2hlci03ODU3Mg==,78572,22,4.7,2.2
38,Teacher,Ritsuko,Heath,Languages,VGVhY2hlci03ODU3Mw==,78573,34,4.8,2.3
39,Teacher,Mayumi,Saito,Languages,VGVhY2hlci03ODU3NQ==,78575,40,4.7,2.4
40,Teacher,Beverly,Bossler,History,VGVhY2hlci03OTA4NQ==,79085,55,4,3.3
41,Teacher,Patricia,Bulman,Languages,VGVhY2hlci03OTE0Mg==,79142,46,4.1,2.8
42,Teacher,Don,Price,History,VGVhY2hlci04MDY5Ng==,80696,45,3.9,1.8
43,Teacher,Paul,Teller,Philosophy,VGVhY2hlci04MTE1Ng==,81156,14,4.2,1.9
44,Teacher,Tsu-Shuan,Chang,Engineering,VGVhY2hlci04MTMxMg==,81312,33,2.4,3.3
45,Teacher,Bob,Becker,Science,VGVhY2hlci04MjA3NQ==,82075,46,4,2.5
46,Teacher,Jay,Mechling,Humanities,VGVhY2hlci04MjA3OA==,82078,42,3.3,3.2
47,Teacher,Michael,Smith,American Studies,VGVhY2hlci04MjM0MA==,82340,31,4,2.2
48,Teacher,Almerindo,Ojeda,Linguistics,VGVhY2hlci04MzIxNA==,83214,65,3.6,2.6
49,Teacher,Thomas,Burr,Social Science,VGVhY2hlci05MTUzOQ==,91539,36,3.3,2.8
50,Teacher,Gayatri,Gopinath,Women's Studies,VGVhY2hlci05MTU0MA==,91540,25,4.3,2.7
51,Teacher,Terence,Murphy,Science,VGVhY2hlci05NDgzOA==,94838,69,3.9,3.3
52,Teacher,Randee,Pauvfe,Theater,VGVhY2hlci05NTc0Mw==,95743,5,3.7,2.6
53,Teacher,L Jay,Helms,Economics,VGVhY2hlci05NTg2Ng==,95866,135,3.9,2.9
54,Teacher,Lynne,Isbell,Anthropology,VGVhY2hlci05ODQ5Ng==,98496,52,3.9,3
55,Teacher,Kimberly,Nettles,Social Science,VGVhY2hlci0xMDIwOTA=,102090,39,3.1,3
56,Teacher,Elizabeth,Post,Psychology,VGVhY2hlci0xMDIxNDk=,102149,124,4.1,2.4
57,Teacher,Stuart,Hill,Political Science,VGVhY2hlci0xMDMxMzk=,103139,123,3.8,3
58,Teacher,Geoff,Schladow,Civil Engineering,VGVhY2hlci0xMDQ4OTY=,104896,11,4.1,3.5
59,Teacher,Richard,Spencer,Engineering,VGVhY2hlci0xMDY5MTc=,106917,18,4.1,3.5
60,Teacher,Dina,Okamoto,Sociology,VGVhY2hlci0xMDc3MjI=,107722,28,3,3.8
61,Teacher,Steven,Farmer,Science,VGVhY2hlci0xMDk4MzE=,109831,106,4.7,2.3
62,Teacher,Chris,Tromborg,Psychology,VGVhY2hlci0xMTI2Nzc=,112677,56,4.3,2.1
63,Teacher,Clarence,Major,English,VGVhY2hlci0xMTQ3ODI=,114782,30,3,2.5
64,Teacher,Ken,Burtis,Science,VGVhY2hlci0xMjExNjE=,121161,7,4.8,2.1
65,Teacher,Peter,Armstrong,Science,VGVhY2hlci0xMjIwODU=,122085,10,3.2,4.4
66,Teacher,Richard,West,Mathematics,VGVhY2hlci0xMjIyODg=,122288,39,4.7,2.6
67,Teacher,James,Harding,Science,VGVhY2hlci0xMjMxMTY=,123116,6,5,3.2
68,Teacher,Tom,Gradziel,Agriculture,VGVhY2hlci0xMjMxMjI=,123122,15,4.4,1.7
69,Teacher,Linda,Egan,Languages,VGVhY2hlci0xMjM1MDc=,123507,26,4.1,3.4
70,Teacher,"Y.P. ""Ed""",Mack,Mathematics,VGVhY2hlci0xMjQ4Njc=,124867,59,1.8,2.8
71,Teacher,Mark,Sanders,Science,VGVhY2hlci0xMjQ4ODQ=,124884,126,3.2,3.3
72,Teacher,"E.O. ""Jack""",Milton,Mathematics,VGVhY2hlci0xMjQ5ODg=,124988,67,2.7,4.2
73,Teacher,Joe,Kiskis,Science,VGVhY2hlci0xMjQ5OTI=,124992,39,3,4.1
74,Teacher,Tracey,Johnson,Science,VGVhY2hlci0xMjUxMDE=,125101,30,1.9,3.7
75,Teacher,Donna,Knifong,Communication,VGVhY2hlci0xMjUyNjU=,125265,17,3.6,2.7
76,Teacher,Raju,Pandey,Computer Science,VGVhY2hlci0xMjUyNjY=,125266,18,4,3.9
77,Teacher,D. Kern,Holoman,Music,VGVhY2hlci0xMjc5NDQ=,127944,86,3.7,2.1
78,Teacher,Steven,Sheffrin,Economics,VGVhY2hlci0xMjc5NDY=,127946,25,3.9,3.1
79,Teacher,Naomi,Janowitz,Religious Studies,VGVhY2hlci0xMjgzNjQ=,128364,64,3.2,2.8
80,Teacher,Edward,Depeters,Animal Science,VGVhY2hlci0xMjk2MjQ=,129624,27,4.3,3
81,Teacher,Tom,Gordon,Science,VGVhY2hlci0xMzA2MjE=,130621,92,4.7,1.7
82,Teacher,Kathleen,Ward,Linguistics,VGVhY2hlci0xMzQ3NDc=,134747,69,3.2,3.1
83,Teacher,Catherine,Puckering,Communication,VGVhY2hlci0xMzg1NDc=,138547,89,4,2.8
84,Teacher,John,Boe,English,VGVhY2hlci0xMzk1Mjg=,139528,120,4.4,2
85,Teacher,Evan,Fletcher,Not Specified,VGVhY2hlci0xNDAwNjk=,140069,14,4.8,2.6
86,Teacher,Scott,Simmon,Film,VGVhY2hlci0xNDE4Mzg=,141838,16,4.1,2.6
87,Teacher,Marilyn,Whitney,Economics,VGVhY2hlci0xNDYyNDU=,146245,83,4.2,2.5
88,Teacher,Christopher,Calvert,Animal Science,VGVhY2hlci0xNDgxNTc=,148157,73,3.7,3.6
89,Teacher,Cristina,Martinez-Carazo,Languages,VGVhY2hlci0xNDgyNTM=,148253,16,4.2,2.7
90,Teacher,Orhan,Orgun,Linguistics,VGVhY2hlci0xNDgyNTc=,148257,19,3.3,1.6
91,Teacher,Dean,Simonton,Psychology,VGVhY2hlci0xNDg0OTY=,148496,38,4.3,2.9
92,Teacher,Kevin,Roddy,History,VGVhY2hlci0xNDg2MDQ=,148604,58,4.3,4
93,Teacher,John,Stenzel,English,VGVhY2hlci0xNDg3MDE=,148701,36,3.9,3.5
94,Teacher,Tom,Hahn,Neuropsychiatry,VGVhY2hlci0xNDg3NTk=,148759,43,3.9,2.6
95,Teacher,Gergely,Zimanyi,Physics,VGVhY2hlci0xNDg4MjQ=,148824,31,3.7,3.2
96,Teacher,Richard,Grotjahn,Science,VGVhY2hlci0xNDg5MTk=,148919,28,3.2,3.4
97,Teacher,Michael,Delwiche,Engineering,VGVhY2hlci0xNDg5MzE=,148931,19,3.9,4
98,Teacher,Ting,Guo,Chemistry,VGVhY2hlci0xNDkwMzY=,149036,139,2,3.6
99,Teacher,Scott,McLean,Literature,VGVhY2hlci0xNDkwOTU=,149095,48,3.2,2.2
100,Teacher,Elizabeth,Davis,English,VGVhY2hlci0xNDkxODE=,149181,24,4.5,2.3
101,Teacher,Marijane,Osborn,English,VGVhY2hlci0xNDkxODk=,149189,20,2.3,4.1
102,Teacher,Kazuo,Yamazaki,Engineering,VGVhY2hlci0xNDkyNTY=,149256,33,1.8,2.5
103,Teacher,Stanley,Sue,Ethnic Studies,VGVhY2hlci0xNDkzMDM=,149303,62,4.2,2.7
104,Teacher,Aliki,Dragona,English,VGVhY2hlci0xNDkzNzI=,149372,29,4.5,2.5
105,Teacher,Miroslav,Nincic,Political Science,VGVhY2hlci0xNDkzNzY=,149376,145,4.1,3.1
106,Teacher,Brian,Rosario,Economics,VGVhY2hlci0xNDkzOTE=,149391,105,2.9,3
107,Teacher,Simone Monnier,Clay,French,VGVhY2hlci0xNDk0OTM=,149493,46,4.6,2.5
108,Teacher,Jacqueline,Horn,Psychology,VGVhY2hlci0xNDk3NjY=,149766,26,3.6,3.2
109,Teacher,Joan,Chandler,Fine Arts,VGVhY2hlci0xNDk4NTI=,149852,13,4.5,2.7
110,Teacher,Gary Sue,Goodman,English,VGVhY2hlci0xNDk5NTg=,149958,9,3.9,3.4
111,Teacher,Steven,Crum,Ethnic Studies,VGVhY2hlci0xNDk5Nzg=,149978,49,4.2,2
112,Teacher,Ken,Shackel,Biology,VGVhY2hlci0xNTA1NjI=,150562,43,2.4,4.2
113,Teacher,Donald,Margolis,Engineering,VGVhY2hlci0xNTA3ODE=,150781,11,4.3,2.8
114,Teacher,Bay,Butler,Economics,VGVhY2hlci0xNTA5MjU=,150925,54,2.8,3.1
115,Teacher,Quirino,Paris,Economics,VGVhY2hlci0xNTEwOTM=,151093,56,2.9,4.1
116,Teacher,Natarajan,Sukumar,Engineering,VGVhY2hlci0xNTEzODc=,151387,29,2.9,3.2
117,Teacher,David,Slaughter,Engineering,VGVhY2hlci0xNTE1MDc=,151507,14,3.3,3.6
118,Teacher,John,Hall,Sociology,VGVhY2hlci0xNTE1MDk=,151509,33,2.4,3.8
119,Teacher,Lawrence,Cohen,Sociology,VGVhY2hlci0xNTIwMTE=,152011,52,3.8,3.4
120,Teacher,Debora,Paterniti,Sociology,VGVhY2hlci0xNTIwMTc=,152017,26,4.8,3
121,Teacher,James,Schaaf,Engineering,VGVhY2hlci0xNTIxOTg=,152198,35,4,2.4
122,Teacher,Jeanette,Natzle,Science,VGVhY2hlci0xNTI2ODM=,152683,15,4.2,2.7
123,Teacher,Alex,Mogilner,Mathematics,VGVhY2hlci0xNTM1MTI=,153512,42,2.1,3.3
124,Teacher,Judy,Callis,Biology,VGVhY2hlci0xNTQzNjA=,154360,65,4.6,3.5
125,Teacher,Scott,Gartner,Political Science,VGVhY2hlci0xNTQ0NTc=,154457,79,3.3,4
126,Teacher,Jared,Haynes,English,VGVhY2hlci0xNTU2MzM=,155633,30,4,3.3
127,Teacher,Ken,Joy,Computer Science,VGVhY2hlci0xNTYwNDk=,156049,18,3.7,2.6
128,Teacher,Charles,Martel,Computer Science,VGVhY2hlci0xNTYwNTE=,156051,10,4.6,3.6
129,Teacher,Margaret,Ferguson,English,VGVhY2hlci0xNTYzMDU=,156305,23,4.4,3.1
130,Teacher,Lou,Bronzan,Physical Ed,VGVhY2hlci0xNTc1OTU=,157595,20,4.6,1.4
131,Teacher,Kathleen,O'Connor,Theology,VGVhY2hlci0xNTc2Mzc=,157637,3,4.7,3
132,Teacher,Brenda,Schildgen,Literature,VGVhY2hlci0xNTc2NDQ=,157644,33,3.4,2.7
133,Teacher,Diane,Felmlee,Sociology,VGVhY2hlci0xNTc3MzE=,157731,45,3.8,3.3
134,Teacher,W. Ronald,Fawcett,Chemistry,VGVhY2hlci0xNTgzNjk=,158369,7,2.4,3.1
135,Teacher,Alexander,Harcourt,Anthropology,VGVhY2hlci0xNTkxMTI=,159112,36,2.8,3.9
136,Teacher,Paul,Baumann,Biology,VGVhY2hlci0xNTkyODg=,159288,0,0,0
137,Teacher,Darrell,Hamamoto,Asian Studies,VGVhY2hlci0xNTk4MTg=,159818,127,3.4,2.6
138,Teacher,Gregg,Recanzone,Biology,VGVhY2hlci0xNjA1OTQ=,160594,51,3.3,3.9
139,Teacher,Robert,Sommer,Psychology,VGVhY2hlci0xNjA1OTg=,160598,14,3.1,2.2
140,Teacher,David,Nutter,Music,VGVhY2hlci0xNjExMDg=,161108,17,2.3,2.5
141,Teacher,D.R.,Wagner,Design,VGVhY2hlci0xNjExMzA=,161130,67,2.7,3
142,Teacher,Dan,Cox,Physics,VGVhY2hlci0xNjExOTk=,161199,31,3.1,3.5
143,Teacher,Susan,George,Humanities,VGVhY2hlci0xNjE3Mzc=,161737,28,3.7,2.5
144,Teacher,Hilary,Hoynes,Economics,VGVhY2hlci0xNjE5Mzg=,161938,46,4.2,2.9
145,Teacher,Kari,Lokke,English,VGVhY2hlci0xNjIyOTg=,162298,12,2.9,2.9
146,Teacher,Francisco,Samaniego,Statistics,VGVhY2hlci0xNjI4NDA=,162840,47,3.6,3.4
147,Teacher,Karl,Beitel,Social Science,VGVhY2hlci0xNjI5MjQ=,162924,29,2.7,2.6
148,Teacher,G.T.,Sallee,Mathematics,VGVhY2hlci0xNjM2NTU=,163655,74,3,3.6
149,Teacher,Bernadette,Tarallo,Social Science,VGVhY2hlci0xNjU4MDI=,165802,69,3.2,2.4
150,Teacher,Katherine,Gibbs,Psychology,VGVhY2hlci0xNjY4Mzg=,166838,90,4,2.4
151,Teacher,Norman,Skonovd,Sociology,VGVhY2hlci0xNjY4NDE=,166841,31,2.6,2.6
152,Teacher,Norma,Lopez-Burton,Languages,VGVhY2hlci0xNjcwNzg=,167078,29,4.8,2.1
153,Teacher,Richard,Sexton,Economics,VGVhY2hlci0xNjc4OTM=,167893,11,4.5,3
154,Teacher,John,Vohs,Communication,VGVhY2hlci0xNjk0ODk=,169489,25,4.2,3.5
155,Teacher,Jarue,Manning,Science,VGVhY2hlci0xNjk5OTI=,169992,22,3.3,3.8
